Z,dT,I,time
-0.0070039374800135775,0.015106439590454102,0.0,1749983801.4051929
-0.0071369596823795105,0.013895511627197266,0.0,1749983801.4277089
-0.007150903740391802,0.015345096588134766,0.0,1749983801.4494064
-0.007031438650306596,0.023012876510620117,0.0,1749983801.4713738
-0.006911571391736237,0.014729499816894531,0.0,1749983801.4929678
-0.007072687263281365,0.01909494400024414,0.0,1749983801.514998
-0.0071001842410702894,0.014702558517456055,0.0,1749983801.5373642
-0.0071001842410702894,0.014568328857421875,0.0,1749983801.5591552
-0.0067491420348959035,0.015285015106201172,0.0,1749983801.5815437
-0.0067758189120707465,0.014263153076171875,0.0,1749983801.6043336
-0.006700886667164079,0.021921634674072266,0.0,1749983801.62563
-0.006700886667164079,0.014612674713134766,0.0,1749983801.647431
-0.006456489871652661,0.013518571853637695,0.0,1749983801.6691997
-0.006394155742280227,0.015058040618896484,0.0,1749983801.6909308
-0.006175566865994927,0.014795541763305664,0.0,1749983801.7129529
-0.005839929648219678,0.013353109359741211,0.0,1749983801.734549
-0.005627478880370606,0.014513969421386719,0.0,1749983801.7557812
-0.005627478880370606,0.02781057357788086,0.0,1749983801.7791178
-0.0052707849276441825,0.014072895050048828,0.0,1749983801.8004224
-0.0046791072311283405,0.02026987075805664,0.0,1749983801.8231294
-0.0038867045415430096,0.014451265335083008,0.0,1749983801.845401
-0.0034492840658623108,0.014530420303344727,0.0,1749983801.8667932
-0.0034492840658623108,0.01871204376220703,0.0,1749983801.8895254
-0.0027843451840030946,0.014441728591918945,0.0,1749983801.911806
-0.0022082185064201607,0.023003339767456055,0.0,1749983801.933677
-0.001896855340842371,0.01482844352722168,0.0,1749983801.9547737
-0.0007226295034450884,0.02826523780822754,0.0,1749983801.9765143
-0.00019572922325260256,0.013849735260009766,0.0,1749983801.9981701
-3.488962212263268e-05,0.022731781005859375,0.0,1749983802.0206075
0.0006919786148349896,0.014295101165771484,0.0,1749983802.0425897
0.0009135553790565465,0.01375126838684082,0.0,1749983802.06409
0.0009135553790565465,0.01923084259033203,0.0,1749983802.0857213
0.001216981244544375,0.014356851577758789,0.0,1749983802.1074595
0.001216981244544375,0.017055273056030273,0.0,1749983802.129917
0.001339973325362601,0.014792203903198242,0.0,1749983802.151073
0.001339973325362601,0.014175176620483398,0.0,1749983802.174564
0.0009662998154630446,0.013495683670043945,0.0,1749983802.1962006
0.0008788774016886981,0.013651847839355469,0.0,1749983802.217653
0.0007322235450605806,0.027172088623046875,0.0,1749983802.239361
0.0006382012751159974,0.012753963470458984,0.0,1749983802.2616334
0.0003144785208942357,0.015034675598144531,0.0,1749983802.2838323
-0.000754372618676934,0.014096975326538086,0.0,1749983802.3058913
-0.000754372618676934,0.015192270278930664,0.0,1749983802.3283026
-0.0015317195815277816,0.014667272567749023,0.0,1749983802.349658
-0.002000254563470541,0.013749837875366211,0.0,1749983802.3714569
-0.0026584915629448373,0.013743162155151367,0.0,1749983802.393033
-0.0031188987143233315,0.020580530166625977,0.0,1749983802.4153597
-0.00360472736639896,0.0114898681640625,0.0,1749983802.4361124
-0.004455752947888414,0.014237642288208008,0.0,1749983802.4582112
